Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,9/12/19,Chicago Running,0.45,32,03:51.8,154,167,0.9,175,184,8:38,7:19,0,3,1.06,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:00.0,1.00,0
Treadmill Running,9/12/19,Treadmill Running,5.30,388,0:42:24,168,184,3.5,170,176,8:00,7:16,0,0,1.19,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:24.1,6.00,0
Running,9/14/19,Chicago Running,14.01,"1,028",1:58:49,173,194,4.5,174,242,8:29,6:24,125,184,1.09,0,0,0,0,0,0:00,0:00,71.6,0:00,No,00:06.4,15.00,0
Treadmill Running,9/16/19,Treadmill Running,5.51,368,0:41:45,164,180,3.5,167,174,7:35,7:07,0,0,1.27,0,0,0,0,0,0:00,0:00,77,0:00,No,03:45.8,6.00,0
Treadmill Running,9/16/19,Treadmill Running,0.13,13,01:46.4,145,164,0.3,121,130,13:44,12:53,0,0,0.97,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:00.0,1.00,0
Treadmill Running,9/17/19,Treadmill Running,10.17,747,1:17:22,177,191,4.5,167,174,7:37,7:08,0,0,1.26,0,0,0,0,0,0:00,0:00,78.8,0:00,No,01:17.8,11.00,0
Running,9/19/19,Bloomington Running,1.23,96,0:11:01,158,171,2.1,169,178,8:58,7:53,79,7,1.06,0,0,0,0,0,0:00,0:00,71.6,0:00,No,02:09.1,2.00,0
Treadmill Running,9/21/19,Treadmill Running,20.02,"1,301",2:38:12,171,189,4.4,168,242,7:54,5:38,0,0,1.21,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:06.8,21.00,0
Treadmill Running,9/23/19,Treadmill Running,5.41,336,0:41:13,154,185,3.1,171,177,7:37,6:51,0,0,1.23,0,0,0,0,0,0:00,0:00,75.2,0:00,No,03:04.1,6.00,0
Treadmill Running,9/25/19,Treadmill Running,1.65,108,0:12:42,156,172,2.2,169,174,7:42,7:17,0,0,1.24,0,0,0,0,0,0:00,0:00,77,0:00,No,04:58.2,2.00,0
